"last_name, first_name",player_id,year,xba,xslg,xwoba,k_percent,bb_percent,barrel_batted_rate,hard_hit_percent,whiff_percent,groundballs_percent,flyballs_percent
"Detmers, Reid",672282,2026,0.207,0.323,0.272,28.5,7.8,6.8,36.5,29.7,37.0,29.7
"Cease, Dylan",656302,2026,0.211,0.313,0.28,35.7,10.1,5.9,37.2,36.0,47.4,18.2
"Weathers, Ryan",677960,2026,0.244,0.446,0.321,27.7,7.0,11.9,42.5,27.1,43.0,26.3
"Sasaki, Roki",808963,2026,0.24,0.413,0.322,24.3,8.5,10.5,45.1,29.4,45.1,26.5
"Eovaldi, Nathan",543135,2026,0.255,0.43,0.324,23.6,5.4,8.3,40.1,31.4,51.2,24.9
"Mikolas, Miles",571945,2026,0.271,0.498,0.347,14.5,6.1,10.8,43.3,16.6,46.2,28.4
"Luzardo, Jesús",666200,2026,0.235,0.36,0.295,25.6,6.7,6.8,29.6,30.7,50.0,20.9
"Burns, Chase",695505,2026,0.2,0.349,0.27,29.7,7.7,9.2,39.4,34.4,41.8,29.4
"Messick, Parker",800048,2026,0.234,0.362,0.291,26.4,7.5,6.2,34.5,27.9,41.8,24.7
"Sugano, Tomoyuki",608372,2026,0.317,0.588,0.414,13.6,6.8,16.3,46.4,16.1,38.8,31.6
"Cavalli, Cade",676917,2026,0.254,0.394,0.327,24.3,8.0,7.9,39.1,24.4,46.5,24.3
"Leahy, Kyle",681517,2026,0.306,0.524,0.39,17.5,8.9,10.9,49.2,22.1,44.6,23.3
"Cecconi, Slade",677944,2026,0.268,0.435,0.331,18.4,7.2,7.9,34.0,21.2,44.7,25.6
"Kochanowicz, Jack",686799,2026,0.272,0.439,0.359,15.9,12.2,7.4,42.8,23.6,57.2,19.7
"Mlodzinski, Carmen",669387,2026,0.284,0.42,0.338,19.4,7.9,7.2,50.3,21.0,44.2,19.9
"Martin, Davis",663436,2026,0.256,0.378,0.302,25.3,5.9,6.3,45.1,27.8,45.6,19.0
"Bassitt, Chris",605135,2026,0.284,0.407,0.344,14.2,8.4,4.1,34.5,21.2,47.4,22.2
"Griffin, Foster",656492,2026,0.244,0.442,0.327,23.2,7.1,12.4,38.3,24.5,43.8,29.9
"Meyer, Max",676974,2026,0.227,0.373,0.302,26.9,9.0,8.6,43.9,30.1,43.4,27.5
"Sánchez, Cristopher",650911,2026,0.217,0.345,0.264,30.1,4.8,8.6,43.2,33.0,58.4,17.3
"Severino, Luis",622663,2026,0.231,0.388,0.318,24.0,11.4,8.7,38.7,23.0,45.1,26.6
"Patrick, Chad",694477,2026,0.252,0.366,0.305,19.5,10.0,6.1,39.2,26.5,37.2,27.7
"Rasmussen, Drew",656876,2026,0.235,0.359,0.277,24.8,4.7,7.2,32.0,23.3,51.9,19.9
"Gilbert, Logan",669302,2026,0.251,0.426,0.317,25.8,5.7,11.0,46.0,28.9,36.5,31.0
"Pérez, Martín",527048,2026,0.244,0.389,0.317,20.9,8.9,7.7,39.7,22.3,45.5,25.0
"Wacha, Michael",608379,2026,0.251,0.419,0.322,20.5,8.0,6.9,38.1,23.6,38.1,27.7
"Woods Richardson, Simeon",680573,2026,0.28,0.468,0.364,12.1,10.4,8.2,45.1,18.8,40.2,27.2
"Freeland, Kyle",607536,2026,0.313,0.517,0.385,17.9,6.3,9.7,44.1,22.5,37.6,30.1
"Burrows, Mike",681347,2026,0.263,0.44,0.338,18.4,8.6,9.4,38.3,23.4,37.4,28.5
"Wheeler, Zack",554430,2026,0.22,0.367,0.284,25.4,6.3,7.9,37.5,26.2,43.0,25.8
"Suarez, Ranger",624133,2026,0.249,0.367,0.3,24.0,7.2,6.7,33.0,23.8,37.4,22.9
"Nola, Aaron",605400,2026,0.26,0.436,0.326,23.7,7.7,9.1,39.6,25.9,41.6,25.4
"Misiorowski, Jacob",694819,2026,0.182,0.254,0.238,38.4,7.3,2.5,31.8,37.8,44.6,22.3
"Martinez, Nick",607259,2026,0.283,0.451,0.333,14.4,4.5,6.8,32.5,18.1,38.9,27.8
"Fried, Max",608331,2026,0.205,0.269,0.253,20.8,7.9,1.8,30.8,23.2,49.1,23.7
"McClanahan, Shane",663556,2026,0.23,0.375,0.301,23.9,8.5,9.1,39.0,27.2,47.6,28.7
"Kirby, George",669923,2026,0.255,0.37,0.296,19.8,5.6,5.0,41.4,20.9,53.1,23.0
"Mahle, Tyler",641816,2026,0.245,0.403,0.316,22.9,9.6,8.4,35.7,19.9,44.6,29.2
"Ureña, Walbert",700712,2026,0.204,0.315,0.288,22.0,12.8,6.4,33.6,28.6,52.1,22.1
"Holmes, Grant",656550,2026,0.246,0.437,0.333,21.2,10.0,10.4,46.2,28.3,42.4,26.6
"Rodriguez, Eduardo",593958,2026,0.265,0.443,0.336,17.8,8.4,8.0,35.9,19.2,41.8,26.2
"Civale, Aaron",650644,2026,0.277,0.48,0.35,15.9,6.9,8.5,47.9,18.7,29.3,33.5
"Alcantara, Sandy",645261,2026,0.268,0.393,0.317,17.1,5.9,6.8,37.2,20.9,45.0,25.2
"Yamamoto, Yoshinobu",808967,2026,0.239,0.379,0.291,24.7,5.1,7.3,37.1,29.5,47.3,24.4
"Abbott, Andrew",671096,2026,0.266,0.428,0.338,16.5,10.2,7.1,39.1,21.5,40.9,26.0
"Bradish, Kyle",680694,2026,0.233,0.393,0.318,22.5,11.9,10.3,36.5,25.5,51.8,21.3
